chapter_code|category_code|subcategory_code|title
I|22|2|Subsequent non-ST elevation (NSTEMI) myocardial infarction
I|22|8|Subsequent ST elevation (STEMI) myocardial infarction of other sites
I|22|9|Subsequent ST elevation (STEMI) myocardial infarction of unspecified site
I|23|0|Hemopericardium as current complication following acute myocardial infarction
I|23|1|Atrial septal defect as current complication following acute myocardial infarction
I|23|2|Ventricular septal defect as current complication following acute myocardial infarction
I|23|3|Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction
I|23|4|Rupture of chordae tendineae as current complication following acute myocardial infarction
I|23|5|Rupture of papillary muscle as current complication following acute myocardial infarction
I|23|6|Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction
I|23|7|Postinfarction angina
I|23|8|Other current complications following acute myocardial infarction
I|24|0|Acute coronary thrombosis not resulting in myocardial infarction
I|24|1|Dressler's syndrome
I|24|9|Acute ischemic heart disease, unspecified
I|25|2|Old myocardial infarction
I|25|3|Aneurysm of heart
I|25|5|Ischemic cardiomyopathy
I|25|6|Silent myocardial ischemia
I|25|9|Chronic ischemic heart disease, unspecified
I|27|0|Primary pulmonary hypertension
I|27|1|Kyphoscoliotic heart disease
I|27|9|Pulmonary heart disease, unspecified
I|28|0|Arteriovenous fistula of pulmonary vessels
I|28|1|Aneurysm of pulmonary artery
I|28|8|Other diseases of pulmonary vessels
I|28|9|Disease of pulmonary vessels, unspecified
I|30|0|Acute nonspecific idiopathic pericarditis
I|30|1|Infective pericarditis
I|30|8|Other forms of acute pericarditis
I|30|9|Acute pericarditis, unspecified
I|31|0|Chronic adhesive pericarditis
I|31|1|Chronic constrictive pericarditis
I|31|2|Hemopericardium, not elsewhere classified
I|31|4|Cardiac tamponade
I|31|8|Other specified diseases of pericardium
I|31|9|Disease of pericardium, unspecified
I|32|-|Pericarditis in diseases classified elsewhere
I|33|0|Acute and subacute infective endocarditis
I|33|9|Acute and subacute endocarditis, unspecified
I|34|0|Nonrheumatic mitral (valve) insufficiency
I|34|1|Nonrheumatic mitral (valve) prolapse
I|34|2|Nonrheumatic mitral (valve) stenosis
I|34|9|Nonrheumatic mitral valve disorder, unspecified
I|35|0|Nonrheumatic aortic (valve) stenosis
I|35|1|Nonrheumatic aortic (valve) insufficiency
I|35|2|Nonrheumatic aortic (valve) stenosis with insufficiency
I|35|8|Other nonrheumatic aortic valve disorders
I|35|9|Nonrheumatic aortic valve disorder, unspecified
I|36|0|Nonrheumatic tricuspid (valve) stenosis
I|36|1|Nonrheumatic tricuspid (valve) insufficiency
I|36|2|Nonrheumatic tricuspid (valve) stenosis with insufficiency
I|36|8|Other nonrheumatic tricuspid valve disorders
I|36|9|Nonrheumatic tricuspid valve disorder, unspecified
I|37|0|Nonrheumatic pulmonary valve stenosis
I|37|1|Nonrheumatic pulmonary valve insufficiency
I|37|2|Nonrheumatic pulmonary valve stenosis with insufficiency
I|37|8|Other nonrheumatic pulmonary valve disorders
I|37|9|Nonrheumatic pulmonary valve disorder, unspecified
I|38|-|Endocarditis, valve unspecified
I|39|-|Endocarditis and heart valve disorders in diseases classified elsewhere
I|40|0|Infective myocarditis
I|40|1|Isolated myocarditis
I|40|8|Other acute myocarditis
I|40|9|Acute myocarditis, unspecified
I|41|-|Myocarditis in diseases classified elsewhere
I|42|0|Dilated cardiomyopathy
I|42|1|Obstructive hypertrophic cardiomyopathy
I|42|2|Other hypertrophic cardiomyopathy
I|42|3|Endomyocardial (eosinophilic) disease
I|42|4|Endocardial fibroelastosis
I|42|5|Other restrictive cardiomyopathy
I|42|6|Alcoholic cardiomyopathy
I|42|7|Cardiomyopathy due to drug and external agent
I|42|8|Other cardiomyopathies
I|42|9|Cardiomyopathy, unspecified
I|43|-|Cardiomyopathy in diseases classified elsewhere
I|44|0|Atrioventricular block, first degree
I|44|1|Atrioventricular block, second degree
I|44|2|Atrioventricular block, complete
I|44|4|Left anterior fascicular block
I|44|5|Left posterior fascicular block
I|44|7|Left bundle-branch block, unspecified
I|45|0|Right fascicular block
I|45|2|Bifascicular block
I|45|3|Trifascicular block
I|45|4|Nonspecific intraventricular block
I|45|5|Other specified heart block
I|45|6|Pre-excitation syndrome
I|45|9|Conduction disorder, unspecified
I|46|2|Cardiac arrest due to underlying cardiac condition
I|46|8|Cardiac arrest due to other underlying condition
I|46|9|Cardiac arrest, cause unspecified
I|47|0|Re-entry ventricular arrhythmia
I|47|9|Paroxysmal tachycardia, unspecified
I|48|0|Paroxysmal atrial fibrillation
I|48|3|Typical atrial flutter
I|48|4|Atypical atrial flutter
I|49|1|Atrial premature depolarization
I|49|2|Junctional premature depolarization
I|49|3|Ventricular premature depolarization
I|49|5|Sick sinus syndrome
I|49|8|Other specified cardiac arrhythmias
I|49|9|Cardiac arrhythmia, unspecified
I|50|1|Left ventricular failure, unspecified
I|50|9|Heart failure, unspecified
I|51|0|Cardiac septal defect, acquired
I|51|1|Rupture of chordae tendineae, not elsewhere classified
I|51|2|Rupture of papillary muscle, not elsewhere classified
I|51|3|Intracardiac thrombosis, not elsewhere classified
I|51|4|Myocarditis, unspecified
I|51|5|Myocardial degeneration
I|51|7|Cardiomegaly
I|51|9|Heart disease, unspecified
I|52|-|Other heart disorders in diseases classified elsewhere
I|5A|-|Non-ischemic myocardial injury (non-traumatic)
I|60|2|Nontraumatic subarachnoid hemorrhage from anterior communicating artery
I|60|4|Nontraumatic subarachnoid hemorrhage from basilar artery
I|60|6|Nontraumatic subarachnoid hemorrhage from other intracranial arteries
I|60|7|Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery
I|60|8|Other nontraumatic subarachnoid hemorrhage
I|60|9|Nontraumatic subarachnoid hemorrhage, unspecified
I|61|0|Nontraumatic intracerebral hemorrhage in hemisphere, subcortical
I|61|1|Nontraumatic intracerebral hemorrhage in hemisphere, cortical
I|61|2|Nontraumatic intracerebral hemorrhage in hemisphere, unspecified
I|61|3|Nontraumatic intracerebral hemorrhage in brain stem
I|61|4|Nontraumatic intracerebral hemorrhage in cerebellum
I|61|5|Nontraumatic intracerebral hemorrhage, intraventricular
I|61|6|Nontraumatic intracerebral hemorrhage, multiple localized
I|61|8|Other nontraumatic intracerebral hemorrhage
I|61|9|Nontraumatic intracerebral hemorrhage, unspecified
I|62|1|Nontraumatic extradural hemorrhage
I|62|9|Nontraumatic intracranial hemorrhage, unspecified
I|63|6|Cerebral infarction due to cerebral venous thrombosis, nonpyogenic
I|63|9|Cerebral infarction, unspecified
I|65|1|Occlusion and stenosis of basilar artery
I|65|8|Occlusion and stenosis of other precerebral arteries
I|65|9|Occlusion and stenosis of unspecified precerebral artery
I|66|3|Occlusion and stenosis of cerebellar arteries
I|66|8|Occlusion and stenosis of other cerebral arteries
I|66|9|Occlusion and stenosis of unspecified cerebral artery
I|67|0|Dissection of cerebral arteries, nonruptured
I|67|1|Cerebral aneurysm, nonruptured
I|67|2|Cerebral atherosclerosis
I|67|3|Progressive vascular leukoencephalopathy
I|67|4|Hypertensive encephalopathy
I|67|5|Moyamoya disease
I|67|6|Nonpyogenic thrombosis of intracranial venous system
I|67|7|Cerebral arteritis, not elsewhere classified
I|67|9|Cerebrovascular disease, unspecified
I|68|0|Cerebral amyloid angiopathy
I|68|2|Cerebral arteritis in other diseases classified elsewhere
I|68|8|Other cerebrovascular disorders in diseases classified elsewhere
I|70|0|Atherosclerosis of aorta
I|70|1|Atherosclerosis of renal artery
I|70|8|Atherosclerosis of other arteries
I|71|8|Aortic aneurysm of unspecified site, ruptured
I|71|9|Aortic aneurysm of unspecified site, without rupture
I|72|0|Aneurysm of carotid artery
I|72|1|Aneurysm of artery of upper extremity
I|72|2|Aneurysm of renal artery
I|72|3|Aneurysm of iliac artery
I|72|4|Aneurysm of artery of lower extremity
I|72|5|Aneurysm of other precerebral arteries
I|72|6|Aneurysm of vertebral artery
I|72|8|Aneurysm of other specified arteries
I|72|9|Aneurysm of unspecified site
I|73|1|Thromboangiitis obliterans [Buerger's disease]
I|73|9|Peripheral vascular disease, unspecified
I|74|2|Embolism and thrombosis of arteries of the upper extremities
I|74|3|Embolism and thrombosis of arteries of the lower extremities
I|74|4|Embolism and thrombosis of arteries of extremities, unspecified
I|74|5|Embolism and thrombosis of iliac artery
I|74|8|Embolism and thrombosis of other arteries
I|74|9|Embolism and thrombosis of unspecified artery
I|76|-|Septic arterial embolism
I|77|0|Arteriovenous fistula, acquired
I|77|1|Stricture of artery
I|77|2|Rupture of artery
I|77|3|Arterial fibromuscular dysplasia
I|77|4|Celiac artery compression syndrome
I|77|5|Necrosis of artery
I|77|6|Arteritis, unspecified
I|77|9|Disorder of arteries and arterioles, unspecified
I|78|0|Hereditary hemorrhagic telangiectasia
I|78|1|Nevus, non-neoplastic
I|78|8|Other diseases of capillaries
I|78|9|Disease of capillaries, unspecified
I|79|0|Aneurysm of aorta in diseases classified elsewhere
I|79|1|Aortitis in diseases classified elsewhere
I|79|8|Other disorders of arteries, arterioles and capillaries in diseases classified elsewhere
I|80|3|Phlebitis and thrombophlebitis of lower extremities, unspecified
I|80|8|Phlebitis and thrombophlebitis of other sites
I|80|9|Phlebitis and thrombophlebitis of unspecified site
I|81|-|Portal vein thrombosis
I|82|0|Budd-Chiari syndrome
I|82|1|Thrombophlebitis migrans
I|82|3|Embolism and thrombosis of renal vein
I|86|0|Sublingual varices
I|86|1|Scrotal varices
I|86|2|Pelvic varices
I|86|3|Vulval varices
I|86|4|Gastric varices
I|86|8|Varicose veins of other specified sites
I|87|1|Compression of vein
I|87|2|Venous insufficiency (chronic) (peripheral)
I|87|8|Other specified disorders of veins
I|87|9|Disorder of vein, unspecified
I|88|0|Nonspecific mesenteric lymphadenitis
I|88|1|Chronic lymphadenitis, except mesenteric
I|88|8|Other nonspecific lymphadenitis
I|88|9|Nonspecific lymphadenitis, unspecified
I|89|0|Lymphedema, not elsewhere classified
I|89|1|Lymphangitis
I|89|8|Other specified noninfective disorders of lymphatic vessels and lymph nodes
I|89|9|Noninfective disorder of lymphatic vessels and lymph nodes, unspecified
I|95|0|Idiopathic hypotension
I|95|1|Orthostatic hypotension
I|95|2|Hypotension due to drugs
I|95|3|Hypotension of hemodialysis
I|95|9|Hypotension, unspecified
I|96|-|Gangrene, not elsewhere classified
I|97|0|Postcardiotomy syndrome
I|97|2|Postmastectomy lymphedema syndrome
I|97|3|Postprocedural hypertension
I|99|8|Other disorder of circulatory system
I|99|9|Unspecified disorder of circulatory system
